1266,韮澤,友美,にらさわ,ともみ,0185-901-3022,090-7390-6498,164,016-0897,秋田県能代市昭南町
1867,矢部,智弘,やべ,ともひろ,0172-402-9598,090-1598-9112,658,036-0141,青森県平川市沖館沢田
1070,寺井,孝,てらい,たかし,0197-292-7884,090-7821-5997,575,029-4371,岩手県奥州市衣川区桧山沢
1758,元山,正,もとやま,ただし,0246-397-4306,090-4072-4658,1458,971-8164,福島県いわき市小名浜西町
404,狩野,健司,かりの,けんじ,017-6572-1862,090-1368-6509,748,038-0052,青森県青森市清水
1851,安田,信也,やすだ,しんや,0173-744-7264,090-7068-2884,787,038-2816,青森県つがる市森田町森田
235,大沼,百合子,おおぬま,ゆりこ,018-5879-4687,080-3951-8605,216,018-1621,秋田県南秋田郡八郎潟町家の後
1533,古川,加奈,ふるかわ,かな,024-8787-1734,080-3555-9089,1328,969-1714,福島県伊達郡国見町高城
503,草田,満,くさだ,みちる,0185-942-5156,090-9417-8898,225,018-2501,秋田県山本郡八峰町峰浜水沢
1405,長谷川,沙也加,はせがわ,さやか,0185-797-3376,090-7743-3484,147,016-0013,秋田県能代市向能代
